Lp.;Wybór;Nazwa jaskini;Kod;Dł.;Den.;Gł.;Przew.;Zaznacz wszystkieOdznacz wszystkie Exportuj zaznaczone 
694;;MAŁA SALA NA MURONCE;K.Bs-02.117;2.50;1.20;1.20;0.00;Szczegóły GPS
695;;MAŁA STUDNIA LOTNIKÓW (SCHRONISKO L-32);K.Bn-09.12;3.00;0.00;0.00;0.00;Szczegóły
696;;MAŁA SZCZELINA ZA PŁYTĄ;K.Gst-01.06;6.00;0.00;0.00;0.00;Szczegóły
697;;MAŁA WIETRZNA DZIURA;K.Bsd-01.32;2.50;0.00;0.00;0.00;Szczegóły
698;;MAŁY DZIADOWSKI SCHRON;K.Bs-03.160;2.00;0.00;0.00;0.00;Szczegóły GPS
699;;MAŁY GRZYB;K.Bs-02.69;3.50;0.00;0.00;0.00;Szczegóły GPS
700;;MAŁY KANION NA MURONCE;K.Bs-02.106;2.50;0.00;0.00;0.00;Szczegóły GPS
701;;MAŁY OKAP;K.Bm-02.12;2.00;0.00;0.00;0.00;Szczegóły GPS
702;;MAŁY OKAP KOŁO GRZYBA W WIŚLE CZARNE;K.Bs-02.167;1.50;0.00;0.00;0.00;Szczegóły GPS
703;;MAŁY OKAP NA KICZORACH;K.Bs-01.02;3.40;0.00;0.00;0.00;Szczegóły GPS
704;;MAŁY OKAP NA SKRZYCZNEM;K.Bs-03.84;1.30;0.00;0.00;0.00;Szczegóły GPS
705;;MAŁY SCHRON;K.Bs-02.37;3.00;0.00;0.00;0.00;Szczegóły GPS
706;;MARSZAŁKOWA DZIURA (SCHRONISKO L-20);K.Bn-09.31;10.00;0.00;0.00;0.00;Szczegóły
707;;MAZUROWY OKAP;K.Pwl-02.01;4.50;2.00;2.00;0.00;Szczegóły GPS
708;;MELSZTYŃSKA DZIURA;K.Pw-01.01;10.00;2.00;0.00;2.00;Szczegóły
709;;MIECHARSKO KOLIBA;K.Bs-03.92;11.30;0.00;0.00;0.00;Szczegóły
